classical_sim,classical_real,ensemble_simulator,ensemble_real_device
0.4466552734375,0.4771728515625,0.4525146484375,0.458740234375
0.691925048828125,0.550079345703125,0.6953125,0.5711669921875
0.602203369140625,0.544036865234375,0.5955810546875,0.5201416015625
0.7330322265625,0.5758056640625,0.7337646484375,0.6016845703125
0.325469970703125,0.374908447265625,0.3260498046875,0.4439697265625
0.71771240234375,0.58941650390625,0.7188720703125,0.5626220703125
0.661376953125,0.585052490234375,0.66943359375,0.521240234375
0.63922119140625,0.5501708984375,0.6339111328125,0.5223388671875
0.545318603515625,0.501861572265625,0.55517578125,0.4893798828125
0.401824951171875,0.4488525390625,0.404296875,0.4742431640625
0.91143798828125,0.73223876953125,0.91259765625,0.59619140625
0.7266845703125,0.607879638671875,0.7322998046875,0.543701171875
0.92919921875,0.7178955078125,0.9298095703125,0.6363525390625
0.55322265625,0.491455078125,0.5450439453125,0.5067138671875
0.489898681640625,0.405975341796875,0.4957275390625,0.5045166015625
0.28839111328125,0.355682373046875,0.2850341796875,0.41552734375
0.46942138671875,0.41558837890625,0.4678955078125,0.4661865234375
0.4300537109375,0.401397705078125,0.434814453125,0.471435546875
0.50811767578125,0.388885498046875,0.506103515625,0.49072265625
0.849029541015625,0.64947509765625,0.8424072265625,0.6051025390625
