dataset,d,n_train,test_size,seed,accuracy,brier,balanced,quantum_label
iris_class0_vs_class2,0,1,0.1,0,0.3,0.33584658056497574,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,0,1.0,0.13461823612451554,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,0,1.0,0.13472247123718262,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,0,1.0,0.137486831843853,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,1,0.6,0.2110508069396019,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,1,1.0,0.1357143446803093,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,1,1.0,0.12229704856872559,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,1,1.0,0.13109339475631715,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,2,0.6,0.2330727219581604,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,2,1.0,0.15470517724752425,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,2,1.0,0.15716320425271987,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,2,1.0,0.14394747763872145,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,3,0.7,0.1978619158267975,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,3,1.0,0.13868813961744308,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,3,1.0,0.13746852427721024,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,3,1.0,0.13629203140735627,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,4,0.8,0.12371515035629273,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,4,1.0,0.14977263361215593,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,4,1.0,0.15008604228496553,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,4,1.0,0.1282932847738266,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,5,0.4,0.3201192542910576,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,5,1.0,0.15125237107276918,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,5,1.0,0.15355620980262757,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,5,1.0,0.15234196335077285,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,6,0.3,0.32703669667243956,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,6,1.0,0.14238088876008986,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,6,1.0,0.14126072376966475,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,6,1.0,0.13427295237779618,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,7,0.3,0.4144739255309105,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,7,1.0,0.13212736696004868,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,7,1.0,0.14305373430252075,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,7,1.0,0.15031473338603973,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,8,0.5,0.29506688714027407,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,8,1.0,0.12017910182476044,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,8,1.0,0.11340750157833099,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,8,1.0,0.14505551755428314,True,ibmq_qasm_simulator
iris_class0_vs_class2,0,1,0.1,9,0.4,0.30171588212251665,False,ibmq_qasm_simulator
iris_class0_vs_class2,1,2,0.1,9,1.0,0.12701852470636368,True,ibmq_qasm_simulator
iris_class0_vs_class2,2,4,0.1,9,1.0,0.1264778569340706,True,ibmq_qasm_simulator
iris_class0_vs_class2,3,8,0.1,9,1.0,0.11936909109354019,True,ibmq_qasm_simulator
